protein,fat,carbohydrates,sugar,sodium,calories,class
0.3,0.2,19.0,14.0,1.0,72.0,0
3.2,2.2,19.0,13.0,0.1,108.0,0
0.0,0.0,13.0,10.0,0.0,50.0,0
0.4,0.2,13.8,0.0,0.0,52.0,0
0.0,0.2,22.0,16.0,0.0,80.0,0
0.0,0.0,22.0,16.0,0.0,80.0,0
1.0,1.0,25.0,12.0,130.0,110.0,0
0.0,0.0,7.0,6.0,0.0,30.0,0
4.0,2.0,33.0,12.0,200.0,160.0,0
0.0,0.0,25.0,19.0,0.0,95.0,0
1.7,1.0,36.6,10.96,193.0,160.0,0
0.5,0.3,25.0,19.0,2.0,95.0,0
3.0,10.0,64.0,25.0,490.0,360.0,0
0.2,0.0,21.0,19.0,15.0,80.0,0
0.0,0.0,22.0,16.0,0.0,80.0,0
0.0,0.0,14.0,13.0,15.0,60.0,0
0.3,0.2,14.0,10.0,1.0,72.0,0
1.0,0.0,34.0,25.0,0.0,130.0,0
0.0,7.0,20.0,12.0,15.0,140.0,0
0.5,0.3,25.0,19.0,2.0,95.0,0
0.0,0.0,25.0,19.0,2.0,52.0,0
12.0,12.0,3.0,2.0,640.0,180.0,0
0.8,0.24,16.67,8.93,1.0,65.0,0
0.0,0.0,20.0,17.0,20.0,80.0,0
0.0,0.0,22.0,17.0,1.0,84.0,0
1.09,0.33,22.84,12.23,1.0,89.0,0
1.6,0.5,34.0,18.0,2.0,133.0,0
1.0,0.4,27.0,14.0,1.0,105.0,0
1.5,0.4,31.0,17.0,1.0,121.0,0
1.5,0.4,31.0,17.0,1.0,121.0,0
3.8,8.8,34.8,14.3,223.0,229.0,0
0.0,0.4,27.0,0.0,1.0,105.0,0
1.0,0.0,29.0,21.0,0.0,110.0,0
1.1,0.3,23.0,12.0,1.0,90.0,0
1.0,0.4,27.0,14.0,1.0,105.0,0
1.0,0.0,27.0,14.0,1.0,105.0,0
1.0,0.4,27.0,14.0,1.0,105.0,0
15.0,5.1,47.9,15.7,451.4,312.0,0
4.4,0.9,31.0,6.6,0.1,157.0,0
0.0,0.0,27.0,14.0,1.0,105.0,0
1.0,0.0,17.0,0.0,1.0,65.0,0
1.0,0.0,27.0,14.0,1.0,105.0,0
1.5,0.4,31.0,16.6,1.0,121.0,0
1.1,0.33,22.84,12.23,1.0,89.0,0
13.6,10.6,27.7,14.6,141.2,250.0,0
4.0,6.0,35.0,0.0,133.0,200.0,0
3.2,8.1,46.0,0.0,352.0,263.0,0
1.66,0.45,5.35,1.95,13.0,27.0,0
1.5,0.4,31.0,16.6,1.0,121.0,0
2.3,33.6,58.4,35.34,6.0,519.0,0
1.8,0.24,22.3,8.93,264.4,87.0,0
1.5,0.4,31.0,17.0,1.0,121.0,0
1.9341,1.877,30.4244,15.7361,250.863,145.6,0
0.0,0.0,27.0,0.0,1.0,105.0,0
1.1,0.3,23.0,12.0,1.0,89.0,0
1.1,0.3,23.0,12.0,1.0,90.0,0
1.0,4.5,13.0,7.0,10.0,100.0,0
0.5,0.0,14.5,10.5,0.0,55.0,0
1.1,0.3,23.0,12.0,1.0,90.0,0
3.0,7.0,32.0,9.0,150.0,190.0,0
3.0,11.0,23.0,13.0,140.0,200.0,0
20.0,10.0,39.0,10.0,422.0,315.0,0
2.0,2.0,16.0,10.0,8.0,92.0,0
1.3,0.0,27.0,14.4,0.0,105.0,0
1.0,0.0,24.0,15.0,0.0,88.0,0
1.37,0.42,28.78,15.41,0.0,110.0,0
1.0,0.0,30.0,19.0,0.0,110.0,0
7.0,3.0,29.0,1.0,280.0,160.0,0
0.64,0.19,13.48,7.22,1.0,53.0,0
1.1,0.33,23.0,12.0,1.0,89.0,0
1.3,0.4,27.0,14.4,1.2,105.0,0
1.0,0.4,30.0,19.0,0.0,110.0,0
1.1,0.3,23.0,12.0,1.0,89.0,0
0.3,0.0,6.5,3.5,0.0,25.0,0
0.8,0.24,16.67,8.93,1.0,65.0,0
1.0,0.2,22.0,0.0,0.0,88.0,0
1.0,0.0,29.0,15.0,0.0,110.0,0
5.0,10.0,44.0,0.0,220.0,280.0,0
12.0,15.0,53.0,19.0,35.0,380.0,0
6.0,21.0,52.0,31.0,350.0,420.0,0
5.0,1.5,33.0,26.0,85.0,170.0,0
1.0,0.0,31.0,23.0,5.0,130.0,0
14.0,4.0,57.0,0.0,170.0,300.0,0
3.0,2.5,26.0,9.0,170.0,130.0,0
1.1,0.3,23.0,12.0,1.0,90.0,0
5.4953,19.7688,45.3618,32.7682,309.22,392.841,0
1.0,3.5,24.0,16.0,190.0,130.0,0
4.0,18.0,47.0,24.0,380.0,360.0,0
1.9,1.2,17.4,6.4,0.0,89.0,0
4.3,15.4,38.6,14.34,206.0,302.0,0
9.0,7.0,71.0,63.0,0.0,390.0,0
7.0,3.0,28.0,10.0,350.0,170.0,0
1.0,10.0,20.0,5.0,0.0,170.0,0
3.3,4.3,34.4,0.0,198.0,187.0,0
1.0,0.0,27.0,14.0,1.0,105.0,0
9.0,13.0,96.0,75.0,160.0,530.0,0
7.828,1.0043,39.1958,26.532,89.0134,185.073,0
1.3,0.4,27.0,14.0,1.0,105.0,0
4.5,6.8,37.1,0.0,234.5,216.0,0
2.8,1.5,11.0,5.7,0.0,65.0,0
1.0,0.4,27.0,14.0,1.0,105.0,0
2.0,5.0,29.0,16.0,219.0,161.0,0
1.0,9.0,19.0,3.0,0.0,160.0,0
1.09,0.33,22.84,12.23,1.0,89.0,0
1.5,0.4,31.0,17.0,1.0,121.0,0
15.0,0.5,0.0,0.0,0.0,533.0,0
7.0,23.0,54.0,28.0,380.0,450.0,0
2.5,1.4,19.0,6.3,0.08,95.0,0
16.0,2.0,60.0,41.0,130.0,300.0,0
1.0,0.0,29.0,15.0,1.0,110.0,0
1.9,1.2,17.4,6.4,0.07,89.0,0
2.0,10.0,24.0,13.0,140.0,200.0,0
1.5,0.4,29.0,26.1,0.0,125.0,0
11.0,4.5,18.0,18.0,45.0,160.0,0
1.0,0.0,23.0,12.0,1.0,90.0,0
1.0,10.0,17.0,10.0,0.0,150.0,0
9.5,1.0,37.0,7.5,343.0,185.0,0
6.2,26.8,50.0,29.05,382.0,459.0,0
6.0,17.0,63.0,0.0,0.0,430.0,0
6.0,11.0,30.0,20.0,0.0,230.0,0
11.0,4.5,18.0,18.0,45.0,160.0,0
1.0,0.0,21.0,12.0,1.0,79.0,0
5.0,0.0,14.0,9.0,75.0,80.0,0
2.0,3.0,19.0,13.0,140.0,110.0,0
1.4,0.1,23.8,0.0,0.0,92.0,0
5.5,6.7,0.5,0.23,123.0,86.0,1
11.0,13.0,0.6,0.0,260.0,170.0,1
11.0,13.0,0.6,0.0,260.0,170.0,1
12.5,14.0,2.0,0.0,410.0,184.0,1
5.0,4.5,0.4,0.0,60.0,70.0,1
13.0,21.0,0.0,0.0,193.0,242.0,1
7.0,8.37,0.53,0.47,100.0,100.0,1
11.0,16.0,1.0,0.0,200.0,190.0,1
12.0,9.0,2.0,0.0,130.0,140.0,1
6.25,7.04,0.4,0.35,94.0,92.0,1
12.0,14.0,0.8,0.4,190.0,180.0,1
20.8,22.4,1.7,0.5,471.0,280.0,1
13.0,12.0,1.0,0.0,160.0,170.0,1
6.0,6.5,0.0,0.0,0.1,225.0,1
6.0,4.5,1.0,0.0,65.0,70.0,1
6.0,4.0,1.0,0.0,55.0,70.0,1
0.0,0.0,1.9,0.0,0.0,10.0,1
18.0,15.0,0.0,0.0,210.0,240.0,1
14.0,10.0,2.0,0.0,0.0,170.0,1
31.0,72.0,42.0,2.0,1900.0,940.0,1
6.0,5.0,0.0,0.0,70.0,70.0,1
12.0,14.0,0.0,0.0,394.0,177.0,1
6.0,10.0,1.0,1.0,62.0,80.0,1
6.0,5.0,0.0,0.0,70.0,70.0,1
8.0,6.0,1.0,0.0,80.0,90.0,1
19.0,18.0,1.0,1.2,280.0,251.0,1
6.0,6.2,0.0,0.0,0.0,83.0,1
6.0,5.0,1.0,0.0,70.0,70.0,1
6.0,5.0,1.0,0.0,70.0,70.0,1
6.0,4.5,1.0,0.0,70.0,70.0,1
16.0,0.0,1.0,1.0,20.0,330.0,1
6.0,5.0,0.5,0.0,72.0,71.0,1
7.0,5.0,0.0,0.0,80.0,80.0,1
0.0,0.0,0.0,0.0,0.0,92.0,1
6.0,5.0,0.0,0.0,70.0,72.0,1
12.0,13.0,2.0,0.0,130.0,170.0,1
2.0,9.0,28.0,26.0,0.0,200.0,1
12.0,13.0,9.0,8.0,270.0,200.0,1
0.0,0.0,0.0,0.0,0.0,125.0,1
12.0,10.0,1.0,0.0,140.0,150.0,1
12.0,14.0,0.0,0.0,140.0,180.0,1
6.0,7.0,0.4,0.2,62.0,78.0,1
9.7,4.4,4.9,0.0,61.0,95.0,1
15.0,14.0,1.0,0.0,200.0,200.0,1
18.0,14.09,0.81,0.0,187.68,181.0,1
6.0,5.0,0.0,0.0,70.0,70.0,1
6.0,0.0,1.0,1.0,115.0,30.0,1
16.0,12.0,7.0,0.0,244.0,199.0,1
6.9,19.2,17.4,4.0,53.0,258.0,1
0.0,105.0,73.0,0.0,2945.0,1240.0,1
6.0,4.5,1.0,0.0,65.0,70.0,1
0.0,0.0,0.0,0.0,0.0,282.0,1
20.0,10.0,58.0,0.0,520.0,350.0,1
13.0,11.0,2.0,1.0,476.0,168.0,1
0.0,11.0,0.0,0.0,0.0,306.0,1
0.0,0.0,0.0,0.0,0.0,225.0,1
6.0,4.0,0.0,0.0,60.0,60.0,1
12.0,5.0,0.0,0.0,140.0,115.0,1
6.0,5.0,0.0,0.0,0.0,70.0,1
39.0,42.0,29.0,0.0,1620.0,660.0,1
5.24,4.76,2.73,0.0,0.0,73.96,1
12.56,26.0,0.72,0.36,142.0,264.0,1
47.0,56.0,61.0,2.0,2420.0,940.0,1
6.0,5.0,1.0,0.0,0.0,70.0,1
8.0,6.0,1.0,0.0,90.0,90.0,1
6.0,5.0,1.0,0.0,70.0,70.0,1
6.0,4.5,1.0,0.0,70.0,70.0,1
10.95,11.6,41.88,1.5,925.0,321.0,1
6.0,5.0,0.0,0.0,70.0,70.0,1
6.3,19.0,0.4,0.4,0.0,194.0,1
6.0,4.0,1.0,0.0,65.0,70.0,1
6.0,5.0,1.0,0.0,70.0,70.0,1
7.0,13.0,42.0,5.0,840.0,320.0,1
6.0,7.0,0.0,0.0,94.0,90.0,1
12.0,13.0,2.0,0.0,130.0,170.0,1
6.0,4.0,1.0,0.0,70.0,60.0,1
6.0,5.0,1.0,0.0,70.0,70.0,1
17.19,20.18,10.49,2.72,16.0,271.0,1
5.0,7.0,0.0,0.0,0.0,80.0,1
0.6,3.1,3.9,0.0,0.0,46.0,1
7.3,6.5,0.0,0.0,0.08,88.0,1
4.0,19.0,48.0,0.0,270.0,380.0,1
29.0,13.0,17.0,0.0,0.0,300.0,1
13.0,12.0,1.0,0.0,160.0,170.0,1
16.0,12.0,0.0,0.0,180.0,180.0,1
6.0,5.0,0.0,0.0,0.0,70.0,1
13.0,20.0,0.0,0.0,0.0,230.0,1
0.0,63.5,0.0,0.0,0.0,175.0,1
13.0,12.0,1.0,0.0,160.0,170.0,1
12.0,10.0,3.0,0.0,130.0,140.0,1
11.94,12.87,41.94,1.41,598.0,335.0,1
6.0,5.0,1.0,0.0,70.0,70.0,1
12.0,10.0,0.0,0.0,10.0,140.0,1
6.0,5.0,1.0,0.0,65.0,70.0,1
15.0,14.0,0.0,0.0,0.0,200.0,1
15.0,11.0,1.0,0.0,180.0,170.0,1
6.0,5.0,1.0,0.0,70.0,70.0,1
6.0,4.5,1.0,0.0,65.0,70.0,1
7.0,16.0,46.0,0.0,0.0,219.0,1
12.58,10.61,1.12,1.12,124.0,155.0,0
6.0,5.0,1.0,0.0,65.0,70.0,0
6.29,5.3,0.56,0.56,62.0,78.0,0
11.0526,8.3687,0.6336,0.3256,124.958,125.838,0
13.0,11.0,1.1,1.1,124.0,155.0,0
12.0,10.0,0.56,0.56,139.0,138.0,0
12.0,3.0,0.0,0.0,140.0,140.0,0
6.5,6.7,0.2,0.0,0.0,80.0,0
6.25,6.01,0.0,0.0,63.0,75.0,0
6.0,4.5,1.0,0.0,65.0,70.0,0
6.0,5.0,0.6,0.6,62.0,78.0,0
6.0,5.0,1.0,1.0,70.0,78.0,0
5.89,4.97,0.5,0.5,40.0,72.0,0
12.6,10.6,1.2,0.0,0.0,156.0,0
11.0,9.0,0.0,0.0,129.0,130.0,0
6.0,4.5,1.0,0.0,65.0,70.0,0
5.0,5.0,1.0,0.0,70.0,75.0,0
6.0,4.0,1.0,0.0,55.0,70.0,0
12.0,8.0,0.0,0.0,120.0,140.0,0
6.29,5.3,0.56,0.0,0.0,78.0,0
6.0,4.0,0.0,0.0,60.0,60.0,0
12.0,5.0,1.0,1.0,62.0,150.0,0
6.0,4.0,0.0,0.0,60.0,60.0,0
6.0,4.7,1.0,0.2,149.0,70.0,0
18.0,15.0,1.5,1.8,186.0,234.0,0
16.0,27.0,3.6,0.6,48.0,322.0,0
3.6,0.1,0.2,0.2,55.0,17.0,0
12.6,10.6,1.2,0.0,0.0,156.0,0
6.0,4.5,1.0,0.0,65.0,70.0,0
6.0,4.0,0.0,0.0,60.0,60.0,0
3.6,0.2,0.2,0.2,55.0,17.0,0
9.0,7.0,0.0,0.0,0.0,109.0,0
6.0,4.5,1.0,0.0,55.0,70.0,0
60.0,3.6,2.1,0.0,0.0,65.0,0
6.0,4.5,1.0,0.0,65.0,70.0,0
10.0,6.0,0.0,0.0,0.0,66.0,0
6.0,5.0,1.0,0.0,0.0,70.0,0
5.0,4.5,0.0,0.0,40.0,60.0,0
18.0,0.0,0.0,0.0,0.0,200.048,0
21.0,18.0,0.0,0.0,0.0,246.0,0
19.0,15.0,1.5,1.0,246.0,220.0,0
6.0,4.0,1.0,0.0,65.0,60.0,0
5.51,4.65,2.0,0.49,122.0,136.0,0
25.0,14.0,0.0,0.0,0.0,294.0,0
7.9,6.3,0.5,0.5,88.2,90.0,0
6.0,5.0,0.0,0.0,70.0,70.0,0
6.3,5.5,0.6,0.6,62.0,80.0,0
13.47,6.03,3.07,0.0,0.0,120.0,0
12.6,10.6,1.1,1.1,62.0,156.0,0
5.5,4.2,0.3,0.2,62.0,63.0,0
12.0,10.0,2.0,0.0,130.0,140.0,0
25.06,21.14,2.24,2.24,556.0,308.0,0
12.0,8.0,1.5,0.0,130.0,120.0,0
6.0,5.0,0.0,0.0,70.0,70.0,0
12.0,8.0,0.0,0.0,120.0,140.0,0
6.0,4.0,0.0,0.0,65.0,60.0,0
8.5,13.87,13.39,1.56,473.0,200.0,0
11.0,10.0,1.0,1.0,110.0,140.0,0
6.0,4.0,0.0,0.0,60.0,60.0,0
11.0,3.0,1.0,0.0,245.0,126.0,0
12.4,6.4,3.2,0.0,77.5,121.0,0
11.0,9.0,1.0,1.0,110.0,140.0,0
6.0,5.0,0.6,0.0,60.0,70.0,0
11.0,10.0,1.0,1.0,110.0,140.0,0
11.0,9.0,1.0,1.0,105.0,130.0,0
12.0,10.0,1.2,1.2,100.0,156.0,0
6.0,4.0,1.0,1.0,55.0,60.0,0
6.29,5.3,0.56,0.56,62.0,78.0,0
6.0,5.0,0.0,0.0,70.0,70.0,0
6.0,5.0,1.0,0.0,65.0,70.0,0
17.0,8.4,0.5,0.5,0.0,135.0,0
19.0,16.0,2.0,2.0,210.0,233.0,0
6.0,4.0,0.0,0.0,60.0,68.0,0
6.0,4.0,0.0,0.0,60.0,60.0,0
3.0,3.0,0.0,0.0,36.0,40.0,0
6.0,4.0,0.0,0.0,60.0,60.0,0
13.0,11.0,1.0,1.0,125.0,150.0,0
11.0,9.0,1.0,0.0,110.0,140.0,0
6.0,5.0,0.0,0.0,70.0,70.0,0
2.0,0.0,23.0,0.0,0.0,100.0,0
10.8,0.3,0.6,0.0,150.0,51.0,0
6.0,5.0,0.0,0.0,70.0,70.0,0
8.0,6.0,1.0,0.0,80.0,90.0,0
12.6,7.1,3.5,0.0,0.0,129.0,0
13.0,11.0,1.0,0.0,0.0,160.0,0
13.0,8.3,1.7,0.1,290.0,135.0,0
6.0,6.2,0.0,0.0,0.0,83.0,0
13.0,11.0,1.0,1.0,140.0,176.0,0
6.0,5.0,1.0,0.0,70.0,70.0,0
6.0,5.0,0.0,0.0,70.0,70.0,0
13.9,9.9,0.0,0.0,0.0,144.0,0
6.0,4.0,0.0,0.0,60.0,60.0,0
13.5,5.5,0.0,0.0,70.0,80.0,0
5.0,9.0,2.0,0.0,16.0,110.0,0
3.0,0.0,41.0,0.0,0.0,601.0,0
6.0,4.5,1.0,0.0,70.0,70.0,0
6.0,4.0,0.0,0.0,60.0,60.0,0
6.0,4.5,0.0,0.0,65.0,70.0,0
8.65,7.28,0.78,0.78,85.17,106.46,0
8.0,6.0,0.0,0.0,90.0,90.0,0
25.0,35.0,0.0,0.0,85.0,420.0,2
35.0,6.0,2.0,0.0,160.0,200.0,2
12.0,2.0,10.0,3.0,0.0,100.0,2
23.0,8.0,0.0,0.0,70.0,170.0,2
31.0,11.0,2.0,1.0,680.0,240.0,2
25.0,35.0,57.0,13.0,980.0,630.0,2
12.0,9.0,31.0,6.0,480.0,250.0,2
29.0,24.0,0.0,0.0,0.0,330.0,2
22.0,27.0,39.0,10.0,1000.0,480.0,2
20.0,9.0,2.0,0.0,330.0,170.0,2
17.0,31.0,0.0,0.0,75.0,350.0,2
14.0,19.0,3.0,0.0,380.0,230.0,2
19.0,23.0,0.0,0.0,75.0,290.0,2
30.0,31.0,42.0,10.0,1220.0,580.0,2
4.0,8.0,21.0,2.0,610.0,170.0,2
34.0,33.0,38.0,8.0,0.0,580.0,2
18.0,7.0,34.0,8.0,480.0,280.0,2
19.0,16.0,27.0,4.8,469.5,420.0,2
11.0,12.0,27.0,7.0,630.0,278.0,2
20.0,19.0,31.0,6.0,770.0,380.0,2
12.0,8.0,31.0,7.0,460.0,240.0,2
29.0,21.0,0.0,0.0,90.0,310.0,2
12.0,14.0,27.0,3.0,510.0,280.0,2
25.0,4.0,0.0,0.0,115.0,140.0,2
22.0,19.0,33.0,7.0,920.0,390.0,2
13.0,3.5,14.0,2.0,390.0,140.0,2
35.0,6.0,2.0,0.0,390.0,200.0,2
26.0,6.0,28.0,7.0,550.0,270.0,2
25.0,5.0,1.0,0.0,290.0,160.0,2
48.0,47.0,42.0,10.0,1510.0,820.0,2
2.0,16.0,24.0,0.0,410.0,250.0,2
21.0,8.0,0.0,0.0,75.0,160.0,2
30.0,26.0,41.0,10.0,1100.0,520.0,2
18.0,25.0,57.0,11.0,820.0,520.0,2
35.0,6.0,2.0,0.0,390.0,200.0,2
27.0,26.0,46.0,11.0,1210.0,530.0,2
16.8,13.0,24.7,6.0,1180.0,275.0,2
17.0,7.0,0.0,0.0,55.0,140.0,2
10.0,12.0,16.0,3.0,580.0,210.0,2
10.0,3.5,9.0,1.0,350.0,110.0,2
4.0,18.0,58.0,0.0,570.0,410.0,2
28.034,20.142,31.713,2.028,549.013,429.917,2
25.0,23.0,34.0,7.0,1050.0,440.0,2
20.221,15.664,31.863,2.028,682.438,360.09,2
24.6,10.6,0.9,0.0,663.0,198.0,2
5.0,22.0,72.0,1.0,710.0,500.0,2
13.0,18.0,0.0,0.0,390.0,210.0,2
15.0,12.0,33.0,7.0,680.0,300.0,2
4.0,18.0,58.0,0.0,570.0,410.0,2
73.0,35.0,52.0,0.0,0.0,742.0,2
15.0,6.0,5.0,0.0,260.0,130.0,2
24.0,19.0,34.0,6.0,540.0,430.0,2
35.0,6.0,2.0,0.0,390.0,200.0,2
8.0,26.0,64.0,0.0,135.0,520.0,2
21.0,4.5,0.0,0.0,65.0,130.0,2
23.0,41.0,0.0,0.0,670.0,450.0,2
15.0,3.5,3.0,1.0,330.0,110.0,2
0.0,0.0,77.0,77.0,5.0,290.0,2
6.0,3.5,33.0,4.0,320.0,190.0,2
19.0,7.0,1.0,0.0,470.0,150.0,2
41.0,26.0,29.0,4.0,710.0,510.0,2
15.0,4.5,5.0,0.0,350.0,120.0,2
17.0,20.0,6.0,0.0,620.0,270.0,2
12.0,13.0,38.0,0.0,0.0,315.0,2
16.0,7.0,10.0,1.0,280.0,170.0,2
30.0,23.0,0.0,0.0,80.0,330.0,2
24.0,28.0,0.0,0.0,94.0,356.0,2
28.0,40.0,49.0,11.0,980.0,660.0,2
17.0,26.0,0.0,0.0,85.0,330.0,2
15.0,5.0,5.0,0.0,350.0,120.0,2
9.0,35.0,5.0,0.0,64.0,379.0,2
20.0,19.0,38.0,7.0,850.0,400.0,2
0.0,15.0,3.0,2.0,210.0,150.0,2
22.0,7.5,2.0,1.0,520.0,150.0,2
3.0,19.0,32.0,22.0,220.0,310.0,2
13.0,21.3,34.6,0.0,645.6,407.3,2
12.0,3.5,8.0,1.0,410.0,110.0,2
3.0,11.0,29.0,8.0,260.0,230.0,2
24.0,11.0,29.0,6.0,460.0,300.0,2
1.0,18.0,2.0,1.0,440.0,170.0,2
10.0,15.0,26.0,6.0,420.0,290.0,2
1.7,7.5,16.4,0.7,261.0,141.491,2
19.0,12.0,1.0,0.0,280.0,190.0,2
20.0,9.0,2.0,0.0,330.0,170.0,2
11.0,13.0,33.0,9.0,450.0,260.0,2
20.0,23.0,0.0,0.0,70.0,290.0,2
23.0,14.0,29.0,4.0,520.0,330.0,2
46.0,36.0,59.0,0.0,3520.0,757.0,2
25.0,4.0,0.0,0.0,115.0,140.0,2
38.0,63.0,62.0,10.0,1660.0,960.0,2
25.0,7.0,30.0,8.0,560.0,280.0,2
25.0,21.0,54.0,8.0,1240.0,510.0,2
14.0,7.0,14.0,1.0,370.0,180.0,2
15.0,17.0,30.0,3.0,480.0,330.0,2
17.0,7.0,0.0,0.0,55.0,140.0,2
7.0,5.0,17.0,3.0,790.0,140.0,2
4.0,2.5,16.0,1.0,450.0,100.0,2
13.0,12.0,27.0,7.0,560.0,270.0,2
23.0,21.0,37.0,6.0,450.0,430.0,2
18.0,32.0,119.0,23.0,2394.0,589.0,2
2.6918,10.2133,9.8348,2.0566,199.568,137.951,1
0.9,0.2,2.1,1.6,7.0,11.0,1
0.9,0.2,3.2,0.58,15.0,15.0,1
1.491,2.5159,5.8572,2.8105,226.714,50.323,1
2.0,0.1,1.5,0.0,0.017,15.0,1
1.229,6.6933,7.9634,6.0682,381.393,97.9646,1
4.0,4.5,12.0,0.0,200.0,110.0,1
2.0,0.0,4.0,1.0,100.0,50.0,1
20.0,0.0,8.0,3.0,30.0,135.0,1
1.9,43.33,7.36,6.67,867.0,427.0,1
1.0,0.0,8.0,0.0,72.0,38.0,1
0.7,0.25,9.9,3.9,52.0,60.0,1
7.4,1.0,32.0,20.0,300.0,208.0,1
2.6,0.4,10.0,4.0,42.0,50.0,1
1.9477,18.9122,8.3556,5.0694,266.096,204.699,1
3.0,5.0,4.8,6.0,45.0,60.0,1
1.0,0.0,3.0,2.0,10.0,15.0,1
2.0,8.0,9.0,3.0,240.0,110.0,1
0.8,0.3,1.8,1.8,0.0,17.0,1
1.0,0.1,1.0,0.0,0.0,20.0,1
3.0,0.0,12.0,0.0,55.0,150.0,1
0.0,0.0,0.0,0.0,0.0,110.0,1
1.0,0.0,3.0,2.0,10.0,15.0,1
0.0,0.0,0.0,4.0,0.0,20.0,1
26.0,5.0,0.0,0.0,0.0,146.0,1
1.5,10.5,6.0,1.5,2.0,122.0,1
1.9184,3.2159,7.7286,2.388,206.939,62.8951,1
2.0,0.5,3.0,1.6,20.0,25.0,1
3.0,0.0,0.0,1.0,85.0,35.0,1
0.6,0.3,15.8,14.9,2.0,62.0,1
4.0,4.5,17.0,8.0,250.0,120.0,1
1.0,0.0,2.0,0.5,16.0,10.0,1
0.0,0.0,3.0,2.0,15.0,10.0,1
4.0,13.0,11.0,5.0,470.0,170.0,1
2.0,0.8,6.5,0.0,54.0,50.0,1
