name,protein,fat,carbohydrates,sugar,sodium,calories,class,,
Apple Juice,0.0,0.0,14.0,13.0,15.0,60.0,0,,
Apple With Skin,0.3,0.2,14.0,10.0,1.0,72.0,0,,
Apple,1.0,0.0,34.0,25.0,0.0,130.0,0,,
Apple Chips,0.0,7.0,20.0,12.0,15.0,140.0,0,,
Apple,0.5,0.3,25.0,19.0,2.0,95.0,0,,
1 Normal Apple,0.0,0.0,25.0,19.0,2.0,52.0,0,,
Chicken & Apple,12.0,12.0,3.0,2.0,640.0,180.0,0,,
Fruit,0.8,0.24,16.67,8.93,1.0,65.0,0,,
Apple Sauce,0.0,0.0,20.0,17.0,20.0,80.0,0,,
Apple Small Green Apple,0.0,0.0,22.0,17.0,1.0,84.0,0,,
Banana,1.09,0.33,22.84,12.23,1.0,89.0,0,,
Banana Sliced,1.6,0.5,34.0,18.0,2.0,133.0,0,,
Banana - (One),1.0,0.4,27.0,14.0,1.0,105.0,0,,
Large Banana,1.5,0.4,31.0,17.0,1.0,121.0,0,,
Large Fresh Banana,1.5,0.4,31.0,17.0,1.0,121.0,0,,
Banana Banana Bread,3.8,8.8,34.8,14.3,223.0,229.0,0,,
Banana,0.0,0.4,27.0,0.0,1.0,105.0,0,,
Banana,1.0,0.0,29.0,21.0,0.0,110.0,0,,
(Small),1.1,0.3,23.0,12.0,1.0,90.0,0,,
Banana,1.0,0.4,27.0,14.0,1.0,105.0,0,,
Banana,1.0,0.0,27.0,14.0,1.0,105.0,0,,
Homemade,1.0,0.4,27.0,14.0,1.0,105.0,0,,
Banana Bruschetta,15.0,5.1,47.9,15.7,451.4,312.0,0,,
Banana,4.4,0.9,31.0,6.6,0.1,157.0,0,,
Banana,0.0,0.0,27.0,14.0,1.0,105.0,0,,
Banana,1.0,0.0,17.0,0.0,1.0,65.0,0,,
Banana *,1.0,0.0,27.0,14.0,1.0,105.0,0,,
Banana Lg,1.5,0.4,31.0,16.6,1.0,121.0,0,,
Banana (Pablorun7),1.1,0.33,22.84,12.23,1.0,89.0,0,,
2 Eggs and 1 Banana,13.6,10.6,27.7,14.6,141.2,250.0,0,,
Bread,4.0,6.0,35.0,0.0,133.0,200.0,0,,
Banana Crumb Muffin,3.2,8.1,46.0,0.0,352.0,263.0,0,,
"Pepper - Banana, raw",1.66,0.45,5.35,1.95,13.0,27.0,0,,
Banana (Large),1.5,0.4,31.0,16.6,1.0,121.0,0,,
Snacks - Banana chips,2.3,33.6,58.4,35.34,6.0,519.0,0,,
Banana Maçã,1.8,0.24,22.3,8.93,264.4,87.0,0,,
Large Banana,1.5,0.4,31.0,17.0,1.0,121.0,0,,
Banana Muffin,1.9341,1.877,30.4244,15.7361,250.863,145.6,0,,
Banana,0.0,0.0,27.0,0.0,1.0,105.0,0,,
