name,protein,fat,carbohydrates,sugar,sodium,calories,class,,
Pepsi 2l,0.0,0.0,10.9,0.0,0.0,41.0,2,,
Pepsi Max 600ml Bottle Uk,0.3,0.0,0.3,0.01,0.0,1.0,2,,
Pepsi Diet Wild Cherry,0.0,0.0,0.0,0.0,35.0,0.0,2,,
Diet Pepsi (20 oz Bottle),0.0,0.0,0.0,0.0,25.0,0.0,2,,
24 Oz,0.0,0.0,0.0,0.0,25.0,0.0,2,,
1 Liter,0.0,0.0,41.0,41.0,30.0,150.0,2,,
Wild Cherry Soda,0.0,0.0,42.0,42.0,30.0,160.0,2,,
Diet Pepsi 591ml,0.0,0.0,0.0,0.0,50.0,0.0,2,,
Beverage,0.0,0.0,41.0,41.0,30.0,150.0,2,,
Pepsi Wild Cherry,0.0,0.0,42.0,42.0,30.0,160.0,2,,
Drink,0.0,0.0,16.0,15.0,60.0,60.0,2,,
8oz,0.0,0.0,28.0,28.0,20.0,100.0,2,,
Diet Pepsi-20oz Bottle,0.0,0.0,0.0,0.0,60.0,0.0,2,,
2 - Liter,0.0,0.0,0.0,0.0,35.0,0.0,2,,
Vanilla,0.0,0.0,40.0,39.0,30.0,150.0,2,,
Pepsi Max Can,0.2,0.0,0.1,0.0,18.0,1.0,2,,
"Diet Pepsi, Caffeine Free",0.0,0.0,0.0,0.0,25.0,0.0,2,,
Soda Pop,0.0,0.0,0.0,0.0,25.0,0.0,2,,
Pepsi 375 Ml Can,0.0,0.0,41.4,41.4,42.0,156.788,2,,
600ml,0.0,0.0,66.3,66.3,68.0,250.0,2,,
Kola,0.0,0.0,10.7,10.6,0.0,42.8,2,,
One,0.0,0.0,0.0,0.0,40.0,0.0,2,,
12 Oz Can,0.0,0.0,41.0,41.0,30.0,150.0,2,,
Pepsi - 710 Ml Btl.,0.0,0.0,42.0,41.0,15.0,150.0,2,,
Pepsi (2l Bottle),0.0,0.0,26.8,26.5,0.0,107.0,2,,
Pepsi Max (Bigger Bottle),0.3,0.0,0.0,0.0,0.0,0.8,2,,
Pepsi Max 1.5l,0.1,0.0,0.09,0.0,50.0,0.7,2,,
Small Can,0.0,0.0,26.0,26.0,20.0,100.0,2,,
Pepsi Max 600ml,0.4,0.0,0.4,0.0,78.0,2.0,2,,
12oz can diet pepsi,0.0,0.0,0.0,0.0,35.0,0.0,2,,
Pepsi Next (Ca),0.0,0.0,44.0,44.0,10.0,170.0,2,,
Pepsi Max 550ml.,0.0,0.0,0.0,0.0,5.0,0.0,2,,
12 Oz Can,0.0,0.0,0.0,0.0,35.0,0.0,2,,
Wine,0.0,0.0,25.0,0.0,0.0,100.0,2,,
"Wine - Table, red",0.2,0.0,1.7,0.0,5.0,72.0,2,,
"Wine - Table, white",0.1,0.0,0.8,0.0,5.0,68.0,2,,
"Wine - Table, rose",0.2,0.0,1.4,0.0,5.0,71.0,2,,
Wine (13g Fat),0.0,13.0,0.0,0.0,7.09,123.0,2,,
Wine,1.0,0.0,4.5,1.0,2.0,101.0,2,,
Wine,0.0,0.0,5.0,0.0,0.0,100.0,2,,
Moscato White Wine,0.0,0.0,11.4,0.0,0.0,127.0,2,,
Glass - Dry Red Wine,0.18,0.0,3.2,0.0,10.0,125.0,2,,
Red Wine 175ml,0.1,0.0,30.0,10.0,0.0,120.0,2,,
Merlot Wine - Gg,0.1,0.0,3.69,0.91,6.0,123.0,2,,
Dry Red Wine,0.0,0.0,3.8,1.0,6.0,125.0,2,,
Red Wine,0.1,0.0,30.0,1.0,5.9,125.0,2,,
Small Glass of Wine,0.1,0.0,3.1,0.0,0.0,85.086,2,,
Wine,0.0,0.0,30.0,0.0,0.0,200.0,2,,
Vinegar Wine Red,0.01,0.0,0.08,0.0,2.0,5.0,2,,
R13,0.1,0.0,3.0,0.0,2.5,100.0,2,,
Wine,0.0,3.0,4.0,0.0,0.0,90.0,2,,
Merlot,0.1,0.0,3.69,0.91,5.0,184.0,2,,
Table Wine 12% Proof,0.1,0.0,4.0,1.0,6.0,100.0,2,,
Chardonay,0.0,0.0,3.0,1.4,7.0,116.0,2,,
Red Wine,1.0,0.0,27.0,27.0,5.0,190.0,2,,
Riesling Wine (30g Carbs),0.0,0.0,30.0,0.0,0.0,120.0,2,,
White Wine (Usda),0.1,0.0,2.6,1.0,5.0,82.0,2,,
White Wine,0.25,0.0,4.9,1.0,7.0,118.0,2,,
Wine,0.0,0.0,4.0,1.0,10.0,125.0,2,,
Chianti,0.02,0.0,0.8,0.23,1.0,25.0,2,,
Red Wine Vinaigrette,0.0,5.0,6.0,4.0,230.0,70.0,2,,
Wine,0.0,0.0,3.82,1.0,6.0,120.0,2,,
Merlot,0.02,0.0,0.74,0.18,1.0,25.0,2,,
Wine,0.0,0.0,6.0,0.0,0.0,122.0,2,,
White Wine - Bottle,0.0,0.0,20.0,5.0,35.0,605.0,2,,
Lambrusco,0.0,0.0,4.0,1.0,6.0,125.0,2,,
Wine,0.1,0.0,3.69,0.91,6.0,122.0,2,,
Gewurtztraminer,0.1,0.0,3.82,0.0,0.0,121.0,2,,
Red Wine,0.5,0.0,4.42,0.0,0.0,123.0,2,,
Wine,0.0,0.0,12.0,0.0,0.0,225.0,2,,
Shiraz,0.5,0.0,4.2,0.0,0.0,124.0,2,,
Muscat,0.0,0.0,14.0,14.0,0.0,100.0,2,,
Wine,0.0,0.0,0.0,0.0,0.0,119.0,2,,
Red Wine,0.0,0.0,2.0,0.0,0.0,106.0,2,,
Wine,0.0,10.0,25.0,0.0,0.0,190.0,2,,
California White Wine,0.0,0.0,5.0,0.0,0.0,100.0,2,,
"Wine, White 175ml",0.0,0.0,0.0,1.4,0.0,130.0,2,,
"Alcoholic beverage, wine, dessert, sweet",0.2,0.0,13.69,7.78,9.0,160.0,2,,
Bourdeaux,0.0,0.0,4.0,0.0,0.0,115.0,2,,
Gewurztraminer,0.0,0.0,25.3,0.0,0.0,101.0,2,,
Red Wine,0.0,0.0,19.0,4.5,30.0,625.0,2,,
Melbec ,0.0,0.0,4.0,0.0,0.0,122.0,2,,
Red Wine - Small Glass 175 Ml,0.1,0.0,2.5,0.0,7.0,120.0,2,,
"Red Wine (Dry, Generic)",0.0,0.0,4.6,1.1,7.0,150.0,2,,
Ginger Wine,0.0,0.0,20.3,0.0,0.0,150.0,2,,
Red Wine,0.0,0.0,4.0,1.0,10.0,160.0,2,,
wine,0.0,0.0,0.0,0.0,0.0,120.0,2,,
Wine White,0.0,0.0,4.0,1.5,5.0,120.0,2,,
Dry White Table Wine (J),0.07,0.0,2.6,0.96,5.0,82.0,2,,
Port Wine,5.0,8.0,4.0,4.0,190.0,100.0,2,,
Red Wine,0.0,0.0,0.0,0.0,0.0,316.0,2,,
"Chardonnay, Terri",0.1,0.0,3.1,1.4,7.4,120.0,2,,
White Wine & Soda,0.0,0.0,0.0,0.0,0.0,130.0,2,,
White Wine,0.0,0.0,1.0,0.0,5.0,70.0,2,,
Wine,0.0,0.0,0.0,0.0,0.0,100.0,2,,
Glass of Red Wine,0.1,0.0,4.6,1.1,7.0,150.0,2,,
Wine,0.0,0.0,3.75,0.0,0.0,93.0,2,,
Red Wine,0.1,0.0,4.7,0.0,0.0,153.0,2,,
Lambrusco Wine,0.0,0.0,2.4,1.7,0.9,22.0,2,,
Red Wine,0.0,0.0,31.0,1.0,6.0,125.0,2,,
White Wine,0.0,0.0,0.6,0.6,12.7,66.0,2,,
Sangiovese Wine *correct*,0.0,0.0,0.0,0.0,0.0,84.0,2,,
wine,0.0,0.0,0.0,0.0,0.0,120.0,2,,
Red Wine (Large 6 oz Glass)-sm,0.2,0.0,4.4,0.4,0.0175,119.0,2,,
Red Wine Vinaigrette,0.0,3.0,6.0,0.0,270.0,50.0,2,,
White Wine,1.0,0.0,2.0,0.0,0.0,81.0,2,,
Wine,0.0,0.0,0.0,0.0,0.0,133.0,2,,
Chianti,0.07,0.0,15.0,0.81,5.0,120.0,2,,
Wine,0.0,0.0,11.8,5.2,0.0,117.0,2,,
Reunite-lambrusco Soft Red Wine (Corrected),0.0,0.0,3.0,2.0,0.0,98.0,2,,
Cabernet,0.0,0.0,6.0,1.0,0.0,25.0,2,,
Malbec,0.0,0.0,4.0,1.2,7.0,123.0,2,,
White Wine,0.1,0.0,3.8,1.4,7.0,120.0,2,,
Sauvignon Blanc,0.07,0.0,3.5,0.0,0.0,150.0,2,,
Pinot Noir,0.0,0.0,3.0,0.0,0.0,188.0,2,,
Sauvignon Blanc,0.2,0.0,1.1,1.1,0.0,300.0,2,,
Moscato,0.0,0.0,4.0,7.0,7.0,120.0,2,,
Red Wine,0.0,0.0,18.0,8.0,0.0,595.0,2,,
Bottle,0.4,0.0,11.6,0.0,0.0,332.0,2,,
Reisling Wine,0.0,0.0,4.0,1.0,10.0,125.0,2,,
Wine,0.1,0.0,3.03,3.03,0.0,123.0,2,,
Rose Wine,0.0,0.0,4.6,4.6,0.0,125.0,2,,
Wine - Chardonnay,0.0,0.0,4.0,0.0,5.0,114.0,2,,
Reisling,0.12,0.0,6.6,0.0,0.0,144.0,2,,
Sparkling Wine,0.07,0.0,2.8,2.8,0.0,87.0,2,,
Rose Wine,0.5,0.0,4.5,0.0,0.0,170.0,2,,
Wine,0.0,0.0,0.0,0.0,0.0,100.0,2,,
Red Wine Vinaigrette,0.0,9.0,2.0,2.0,350.0,90.0,2,,
Zinfandel Red Wine,0.0,0.0,4.2,0.0,0.0,132.0,2,,
Blush Wine,0.0,0.0,7.0,5.0,7.0,91.0,2,,
Pinot Noir,0.0,0.0,0.7,0.0,0.0,112.0,2,,
Gallo Moscato,1.0,0.0,11.4,0.0,0.0,127.0,2,,
Wine,0.0,0.0,0.0,0.0,0.0,450.0,2,,
Whiskey,0.0,0.0,11.0,11.0,0.0,108.0,2,,
Whiskey,0.0,0.0,0.0,0.0,0.0,64.0,2,,
Whiskey,0.0,0.0,0.0,0.0,0.0,77.0,2,,
Whiskey,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Whiskey,0.0,0.0,0.0,0.0,0.0,56.0,2,,
Whiskey,0.0,0.0,0.0,0.0,0.0,64.0,2,,
Whiskey,0.0,0.0,0.0,0.0,0.0,98.0,2,,
Whiskey,0.0,0.0,0.04,0.0,0.0,112.0,2,,
Whiskey,0.0,0.0,0.0,0.0,0.0,69.0,2,,
"Whiskey sour mix, bottled",0.1,0.1,21.4,21.4,102.0,87.0,2,,
Irish Whiskey,0.0,0.0,0.0,0.0,0.0,72.0,2,,
Irish Whiskey,0.0,0.0,0.0,0.0,0.0,70.0,2,,
Whiskey,0.0,0.0,0.0,0.0,0.0,110.0,2,,
Whiskey,0.0,0.0,0.1,0.0,0.0,250.0,2,,
Whiskey,0.0,0.0,0.0,0.0,0.0,69.0,2,,
7 (Whiskey),0.0,0.0,0.0,0.0,0.0,69.0,2,,
Bourbon Whiskey,0.0,0.0,0.0,0.0,0.0,104.0,2,,
Whiskey Sour,4.0,0.0,17.0,14.0,55.0,181.0,2,,
Bourbon Whiskey,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Whiskey,0.0,0.0,0.0,0.0,0.0,65.0,2,,
Whiskey,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Whiskey Sour,0.0,0.0,20.0,20.0,28.0,200.0,2,,
Whiskey Sour,0.0,0.0,12.0,0.0,0.0,111.0,2,,
Whiskey Coke,0.0,0.0,0.0,0.0,0.0,145.0,2,,
Whiskey Sour,0.0,0.0,0.0,0.0,0.0,155.0,2,,
Whiskey Ginger,0.0,0.0,12.0,0.0,0.0,109.0,2,,
"Alcoholic beverage, distilled, whiskey, 86 proof",0.0,0.0,0.1,0.1,0.0,250.0,2,,
Whiskey,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Scotch Whiskey,0.0,0.0,0.0,0.0,0.0,78.0,2,,
Scotch Whiskey,0.0,0.0,0.0,0.0,0.0,72.0,2,,
Canadian Whiskey,0.0,0.0,0.0,0.0,0.0,96.0,2,,
Scotch - Whiskey,0.0,0.0,21.0,0.0,0.0,84.0,2,,
Whiskey,0.0,0.0,0.0,0.0,0.0,69.0,2,,
American Whiskey,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Rye Whiskey,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Fireball Whiskey,0.0,0.0,11.0,11.0,0.0,69.0,2,,
Whiskey Diet Coke,0.0,0.0,0.0,0.0,0.0,65.0,2,,
Cinnamon Whiskey,0.0,0.0,11.0,11.0,0.0,108.0,2,,
Tennessee Whiskey,0.0,0.0,0.0,0.0,0.0,78.0,2,,
Tennessee Whiskey,0.0,0.0,0.0,0.0,0.0,65.0,2,,
Bourbon Whiskey,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Whiskey Old Fashioned,0.0,0.0,15.6,15.5,7.0,180.0,2,,
Whiskey,0.0,0.0,0.0,0.0,0.0,100.0,2,,
Whiskey,0.0,0.0,0.0,0.0,0.0,104.0,2,,
Rye Whiskey,0.0,0.0,0.0,0.0,0.0,96.0,2,,
Irish Whiskey 50ml,0.0,0.0,0.0,0.0,0.0,103.0,2,,
Whiskey,0.0,0.0,0.0,0.0,0.0,64.0,2,,
Fire Ball Whiskey,0.0,0.0,11.0,0.0,0.0,108.0,2,,
Rye Whiskey,0.0,0.0,0.0,0.0,0.0,96.0,2,,
Maple Whiskey,0.0,0.0,11.0,10.9,0.0,103.0,2,,
Whiskey Liqueur,0.0,0.0,11.0,10.9,0.0,103.0,2,,
Scotch Whiskey,0.0,0.0,0.0,0.0,0.0,63.0,2,,
Alcohol,0.0,0.0,0.1,0.1,0.0,96.0,2,,
7 Crown Whiskey,0.0,0.0,0.0,0.0,0.0,97.0,2,,
Rye Whiskey,0.0,0.0,0.0,0.0,0.0,101.0,2,,
Whiskey 50ml,0.0,0.0,0.0,0.0,0.0,110.0,2,,
Single Malt Whiskey,0.0,0.0,0.0,0.0,0.0,60.0,2,,
Bourbon Whiskey (Hpmoe),0.0,0.0,0.0,0.0,0.0,69.0,2,,
Vanilla Whiskey,0.0,0.0,0.0,0.0,0.0,100.0,2,,
Irish Whiskey,0.0,0.0,0.0,0.0,0.0,58.3,2,,
Beverage,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Canadian Whiskey Vo,0.0,0.0,0.0,0.0,0.0,65.0,2,,
Whiskey Sour,0.1,0.1,13.6,13.5,65.0,162.0,2,,
Whiskey,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Alcohol,0.0,4.0,9.0,11.0,0.4,72.0,2,,
Fireball Cinnamon Whiskey Shot,0.0,0.0,11.0,11.0,0.0,108.0,2,,
Whiskey,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Alcohol,0.0,0.0,0.0,0.0,0.0,117.0,2,,
80 Proof Whiskey,0.0,0.0,0.05,0.0,0.0,97.0,2,,
Whiskey,0.0,0.0,0.0,0.0,0.0,222.0,2,,
Cocktail,0.2,0.0,8.5,7.8,12.6,166.0,2,,
Fire Whiskey,0.0,0.0,9.0,9.0,0.0,121.0,2,,
Canadian Whiskey,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Scotch Whiskey & Ginger Ale,1.0,0.0,18.0,18.0,25.0,140.0,2,,
Whiskey Carb Macros,0.0,0.0,17.0,0.0,0.0,69.0,2,,
Rye Whiskey,0.0,0.0,0.0,0.0,0.0,101.0,2,,
Rye Whiskey,0.0,0.0,0.0,0.0,0.0,65.0,2,,
Whiskey Smash,0.0,0.0,7.0,6.0,0.0,150.0,2,,
Scotch Whiskey,0.0,0.0,0.0,0.0,0.0,105.0,2,,
Triple Distilled Irish Whiskey,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Whiskey Cocktail Saus,0.8,31.0,9.4,9.4,520.0,341.0,2,,
Cherry Whiskey,0.5,0.0,9.0,9.0,0.0,80.0,2,,
Whiskey,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Scotch Whiskey,0.0,0.0,0.0,0.0,0.0,195.0,2,,
Whiskey,0.0,0.0,0.0,0.0,0.0,100.0,2,,
Whiskey and Diet Coke,0.0,0.0,0.0,0.0,0.0,115.0,2,,
Rye Whiskey (95 Proof),0.0,0.0,0.0,0.0,0.0,110.0,2,,
Whiskey Liqueur,0.0,0.0,0.0,0.0,0.0,47.0,2,,
Whiskey - 1 Shot ,0.0,0.0,0.0,0.0,0.0,98.0,2,,
Kentucky Straight Bourbon Whiskey,0.0,0.0,0.0,0.0,0.0,138.0,2,,
Irish Whiskey Cake,2.3,5.7,29.9,24.7,130.0,180.0,2,,
Irish Whiskey,0.0,0.0,0.0,0.0,0.0,90.0,2,,
Whiskey and Cola,0.0,0.0,16.0,0.0,0.0,140.0,2,,
Single Barrel Bourbon Whiskey,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Single Malt Scotch Whiskey,0.0,0.0,0.0,0.0,0.0,105.0,2,,
Bourbon Whiskey Smoked Maple,0.0,0.0,4.8,4.8,0.0,133.0,2,,
Single Barrel Whiskey,0.0,0.0,0.0,0.0,0.0,114.0,2,,
Whiskey / Bourbon / Rum,0.0,0.0,0.0,0.0,0.0,56.0,2,,
Irish Whiskey,0.0,0.0,0.0,0.0,0.0,64.0,2,,
Laphroaig Scotch Whiskey,0.0,0.0,22.0,1.0,0.0,90.0,2,,
Vodka,0.0,0.0,16.0,0.0,0.0,64.0,2,,
Vodka,0.0,0.0,11.0,0.0,0.0,207.0,2,,
Vodka Fats,0.0,0.0,0.0,0.0,0.0,96.0,2,,
Vodka (Generic),0.0,14.0,32.0,0.0,0.0,256.0,2,,
Vodka,0.0,0.0,0.0,0.0,0.0,96.0,2,,
Vodka Tonic,0.0,0.0,24.0,0.0,35.0,100.0,2,,
Vodka 25 Ml,0.0,0.0,0.0,0.0,0.0,55.0,2,,
Vodka 50ml,0.0,0.0,0.0,0.0,0.0,109.0,2,,
Vodka,0.0,0.0,0.0,0.0,0.0,72.0,2,,
Vodka - 80 proof,0.0,0.0,0.0,0.0,1.0,231.0,2,,
Vodka - Original,0.0,0.0,16.1,0.0,8.0,159.0,2,,
Vodka Sauce,3.0,10.0,10.0,9.0,610.0,140.0,2,,
Vodka & Tonic,0.0,0.0,0.0,0.0,8.0,70.0,2,,
Vodka,0.0,10.0,10.0,0.0,0.0,150.0,2,,
Vodka Sauce,1.0,4.0,5.0,3.0,200.0,60.0,2,,
Vodka,0.0,0.0,16.0,0.0,0.0,0.0,2,,
Vodka - Scw,0.0,0.0,0.0,0.0,0.0,50.0,2,,
Vodka,0.0,3.0,8.0,0.0,0.0,64.0,2,,
Vodka,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Vodka,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Vodka Sauce,5.0,5.0,11.0,9.0,440.0,110.0,2,,
Vodka,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Vodka,0.0,7.6,7.3,0.0,0.0,64.0,2,,
Vodka,0.0,0.0,17.0,15.0,35.0,235.0,2,,
Vodka Tonic-diet,0.0,0.0,0.0,0.0,0.0,300.0,2,,
Vodka,0.0,0.0,0.0,0.0,0.0,117.5,2,,
"Vodka, Alcohol",0.0,0.0,0.0,0.0,0.0,98.0,2,,
Vodka Sauce,3.0,4.0,12.0,8.0,600.0,90.0,2,,
Vodka,0.0,0.0,0.0,0.0,0.0,64.0,2,,
Vodka,0.0,0.0,0.0,0.0,0.0,78.0,2,,
Cherry Vodka,0.0,0.0,3.0,0.0,0.0,90.0,2,,
Grape Vodka,0.0,0.0,6.0,0.0,0.0,100.0,2,,
Vodka,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Vodka,0.0,0.0,24.5,0.0,0.0,98.0,2,,
Absolute Vodka - With Carbs,0.0,5.3,12.0,0.0,0.0,96.0,2,,
Vodka,0.0,0.0,0.0,0.0,0.0,81.0,2,,
Vodka,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Vodka 35m + Lemonade,0.0,0.0,0.0,0.0,0.0,128.0,2,,
Vodka,0.0,0.0,0.0,0.0,0.0,52.0,2,,
Vodka,0.0,0.0,0.0,0.0,0.6,79.0,2,,
Vodka,0.0,0.0,0.0,0.0,0.0,70.0,2,,
Cape Cod-vodka and Cranberry Cocktail,0.0,0.0,28.0,28.0,5.0,172.0,2,,
Vodka 7,0.0,0.0,0.0,0.0,0.0,170.0,2,,
Vodka,0.0,0.0,24.25,0.0,0.0,97.0,2,,
Vodka,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Vodka,0.0,0.0,0.0,0.0,0.0,96.0,2,,
Vodka Martini,0.0,0.0,66.0,0.0,0.0,258.0,2,,
Orange Flavored Vodka,0.0,0.0,3.0,0.0,0.0,90.0,2,,
Vodka Sauce,3.0,5.0,11.0,3.0,420.0,100.0,2,,
Whipped Vodka,0.0,0.0,0.0068,6.7,0.0,114.0,2,,
Vodka,0.0,0.0,0.0,0.0,0.0,97.0,2,,
Vodka,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Vodka Soda Cocktail,0.0,0.0,0.0,0.0,0.0,64.0,2,,
Vodka and Cranberry Juice,0.0,0.0,0.0,0.0,0.0,96.0,2,,
Peach Vodka,0.0,0.0,16.25,0.0,0.0,65.0,2,,
Double Chocolate Vodka,0.0,0.0,6.6,6.6,0.0,83.0,2,,
Vodka Sauce,3.0,9.0,10.0,9.0,730.0,140.0,2,,
Vodka,0.0,10.0,0.0,0.0,0.0,98.0,2,,
Vodka,0.0,0.0,0.0,0.0,0.0,96.0,2,,
Vodka,0.0,0.0,0.0,0.0,1.0,231.0,2,,
Redbull & Vodka ,0.0,0.0,27.7,26.3,197.0,150.0,2,,
Vodka,0.0,0.0,0.0,0.0,0.0,105.0,2,,
Vodka,0.0,0.0,0.0,0.0,0.0,65.0,2,,
Kettle One,0.0,0.0,0.0,0.0,0.0,96.0,2,,
Vanilla Vodka,0.0,0.0,0.0,0.0,0.0,67.0,2,,
Vodka Citron,0.0,0.0,0.0,0.0,0.0,67.0,2,,
Vodka & Tonic,0.0,0.0,17.0,0.0,0.0,177.0,2,,
Vodka Gimlet,0.14,0.04,6.11,0.0,2.96,150.0,2,,
Vodka,0.0,8.9,0.0,0.0,0.0,80.0,2,,
Cocktail,0.0,0.0,0.0,0.0,0.0,192.0,2,,
Vodka Pineapple,0.9,0.0,28.0,26.2,4.4,182.0,2,,
Vodka Shot,0.0,0.0,0.0,0.0,0.0,97.0,2,,
Raspberry Vodka,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Mandarin Vodka,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Vodka & Cranberry,0.0,0.0,24.0,24.0,0.0,190.0,2,,
Fleischmann's Royal Vodka 80 Proof,0.0,0.0,0.0,0.0,0.0,65.0,2,,
Ketel One,0.0,0.0,0.0,0.0,0.0,64.0,2,,
Vodka & Sprite,0.0,0.0,26.0,26.0,45.0,158.0,2,,
Skyy Vodka,0.0,0.0,0.0,0.0,0.0,70.0,2,,
Raspberry Vodka,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Vodka,0.0,0.0,0.0,0.0,0.0,760.0,2,,
Blue ,0.0,0.0,7.0,0.0,0.0,100.0,2,,
Vodka & Soda,0.0,0.0,0.0,0.0,0.0,64.0,2,,
Raspberry,0.0,0.0,25.0,0.0,0.0,176.0,2,,
Blueberry Vodka,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Vanilla Vodka,0.0,0.0,1.0,0.0,0.0,60.0,2,,
Vodka Sauce,3.0,4.0,7.0,4.0,430.0,80.0,2,,
Vodka Sonic,0.0,0.0,0.0,0.0,0.0,210.0,2,,
Raspberry Vodka,0.0,0.0,0.0,0.0,0.0,138.0,2,,
Vodka,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Raspberry Vodka,0.0,0.0,0.5,0.0,0.0,60.0,2,,
Watermelon Vodka,0.0,0.0,3.0,0.0,0.0,65.0,2,,
Vodka Red,0.0,0.0,0.0,0.0,0.0,65.0,2,,
Cake,0.0,0.0,9.0,0.0,0.0,110.0,2,,
Lemon & Vodka,0.0,0.0,25.1,24.9,118.0,178.0,2,,
Vodka-blue,0.0,0.0,0.0,0.0,0.0,146.0,2,,
Martini Vodka,0.0,0.0,33.0,0.0,0.0,260.0,2,,
Carnivale ,0.0,0.0,25.0,0.0,0.0,186.0,2,,
Lime Vodka,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Strawberry Vodka,0.0,0.0,0.0,0.0,0.0,69.0,2,,
Porridge,10.0,5.0,27.0,9.0,0.3,195.0,0,,
Porridge,11.0,9.0,26.0,0.0,0.0,229.0,0,,
Porridge,5.2,3.5,31.0,0.6,0.0,185.0,0,,
Porridge,4.4,3.2,24.0,0.4,0.0,142.0,0,,
Porridge,3.0,2.1,15.9,0.3,0.1,100.0,0,,
Porridge,3.3,2.1,18.3,0.4,0.01,113.0,0,,
Porridge,4.4,2.2,29.2,0.5,0.0,155.0,0,,
Porridge,4.8,3.4,22.4,0.4,0.0,148.0,0,,
Porridge,9.0,8.4,28.8,6.6,0.1,243.0,0,,
Porridge,13.0,3.9,49.0,17.0,0.2,294.0,0,,
Porridge,3.5,2.6,17.4,0.3,0.1,112.0,0,,
Porridge,4.2,2.4,25.4,0.4,0.0,147.0,0,,
Porridge,2.5,1.5,19.0,4.0,0.01,104.0,0,,
Porridge,9.4,6.2,40.0,6.4,0.0,244.0,0,,
Porridge,9.5,5.4,24.9,9.0,0.08,186.0,0,,
Porridge,15.0,8.3,42.5,13.2,0.15,315.0,0,,
Porridge,11.7,6.8,34.1,10.7,0.09,252.0,0,,
Porridge,4.8,3.4,22.4,0.4,0.0,148.0,0,,
Porridge Oats,4.8,3.1,23.6,0.4,0.0,149.0,0,,
Porridge Oats,5.5,4.1,30.2,0.8,0.0,190.0,0,,
Porridge,4.8,3.1,23.6,0.4,0.0,149.0,0,,
Porridge,10.9,4.2,41.3,14.3,0.07,257.0,0,,
Pork Porridge,19.0,15.0,38.0,0.0,1501.0,364.0,0,,
Porridge,8.5,5.0,47.0,0.0,0.0,260.0,0,,
Porridge Oats,3.3,2.1,18.3,0.4,0.0,113.0,0,,
Porridge,11.5,2.6,37.5,16.5,110.0,221.0,0,,
Porridge,4.4,2.2,26.8,0.5,0.0,150.0,0,,
Porridge Oats,4.4,3.2,24.0,0.0,0.0,150.0,0,,
Porridge Oats,15.0,8.3,42.5,13.2,0.15,315.0,0,,
Porridge,12.0,3.1,15.5,4.8,0.2,144.0,0,,
Porridge,4.9,2.1,25.6,0.6,0.0,148.0,0,,
Porridge Oats,5.5,3.2,30.0,0.6,0.0,143.0,0,,
Porridge,4.1,2.9,25.8,8.2,0.03,151.0,0,,
Chicken Porridge,12.0,6.0,21.0,0.0,1308.0,181.0,0,,
Porridge Oats,4.4,2.2,26.8,0.5,0.0,150.0,0,,
Porridge,15.0,8.3,42.5,13.2,0.15,315.0,0,,
Ready Brek Porridge,3.5,2.6,17.4,0.3,0.0,112.0,0,,
Porridge,3.0,2.1,15.9,0.3,0.0,100.0,0,,
Porridge,5.7,35.0,7.9,0.0,0.0,351.0,0,,
Porridge,8.0,7.0,31.0,0.0,0.0,228.0,0,,
Porridge,12.0,4.0,27.0,0.0,0.0,240.0,0,,
Original Porridge,3.0,2.1,15.9,0.3,0.0,100.0,0,,
Porridge Sachets,3.0,2.1,15.9,0.3,0.0,100.0,0,,
Porridge Oats,4.8,3.4,22.4,0.4,0.0,148.0,0,,
Porridge,4.4,2.2,29.2,0.5,0.0,155.0,0,,
Porridge,13.0,3.9,49.0,17.0,0.2,294.0,0,,
Porridge,4.4,3.2,24.0,0.4,0.0,142.0,0,,
Porridge,0.11,0.08,0.6,0.01,0.1,90.0,0,,
Golden Syrup,9.0,5.3,32.1,0.0,0.2,215.0,0,,
Porridge,5.0,5.0,38.0,22.0,0.0,217.0,0,,
